iter	Logloss
0	0.6218294604
1	0.5847412636
2	0.5294351249
3	0.4945528754
4	0.4671230316
5	0.4498740558
6	0.4305327514
7	0.4138922198
8	0.4013021074
9	0.3860618986
10	0.3745008008
11	0.3660538443
12	0.3614498993
13	0.3563359359
14	0.3519253895
15	0.3468524999
16	0.3432004534
17	0.3398937357
18	0.335815331
19	0.3334764612
20	0.3307404354
21	0.3280899771
22	0.3264387394
23	0.3236523332
24	0.3213428629
25	0.3190259933
26	0.317536387
27	0.315077124
28	0.3143951482
29	0.3132695165
30	0.3121919303
31	0.3110578142
32	0.3102579117
33	0.3096739341
34	0.3085883568
35	0.3078577436
36	0.307350356
37	0.3066480242
38	0.3060142583
39	0.3052883806
40	0.3045176473
41	0.30382722
42	0.3029965039
43	0.3024442607
44	0.3018512068
45	0.3013194183
46	0.3006506295
47	0.2998956812
48	0.2986203884
49	0.297727815
50	0.2972803445
51	0.2968031127
52	0.2963050974
53	0.2958870921
54	0.2955902692
55	0.2950411172
56	0.2947481747
57	0.2943797276
58	0.2942526587
59	0.2939090729
60	0.2936069883
61	0.2933389729
62	0.2927162565
63	0.2923377793
64	0.2920467771
65	0.2917945138
66	0.291360592
67	0.2910673536
68	0.2907055822
69	0.2902984948
70	0.2900801034
71	0.2897317492
72	0.2895541356
73	0.2892598448
74	0.2890472412
75	0.2888660431
76	0.2884099237
77	0.2881542074
78	0.2879405515
79	0.2876173546
80	0.2874589789
81	0.2872170087
82	0.2869768472
83	0.2867767729
84	0.2862209452
85	0.2858345098
86	0.2856092453
87	0.2853832245
88	0.2850863358
89	0.2849557153
90	0.2847822781
91	0.2846660943
92	0.2844831204
93	0.2842239511
94	0.2839546204
95	0.283803874
96	0.2835916651
97	0.2833741287
98	0.2832939871
99	0.2829834511
