iter	Passed	Remaining
0	6	687
1	11	573
2	16	534
3	23	574
4	26	504
5	30	473
6	35	472
7	38	439
8	40	413
9	43	393
10	52	425
11	55	405
12	57	387
13	60	373
14	64	363
15	68	358
16	71	346
17	74	341
18	80	341
19	86	345
20	88	334
21	91	324
22	95	320
23	100	317
24	102	308
25	105	300
26	108	293
27	115	297
28	118	291
29	122	285
30	125	279
31	129	275
32	133	272
33	137	267
34	141	262
35	145	258
36	149	254
37	153	249
38	156	244
39	162	243
40	167	241
41	171	236
42	174	231
43	179	228
44	183	224
45	186	218
46	190	214
47	197	213
48	201	209
49	204	204
50	208	200
51	212	195
52	217	192
53	220	187
54	223	182
55	226	177
56	231	174
57	235	170
58	238	166
59	242	161
60	245	157
61	250	153
62	252	148
63	255	143
64	260	140
65	266	137
66	269	132
67	272	128
68	275	123
69	277	119
70	281	114
71	283	110
72	286	105
73	289	101
74	293	97
75	299	94
76	302	90
77	306	86
78	309	82
79	314	78
80	316	74
81	320	70
82	323	66
83	327	62
84	330	58
85	333	54
86	336	50
87	339	46
88	343	42
89	348	38
90	352	34
91	356	30
92	359	27
93	364	23
94	373	19
95	384	16
96	393	12
97	398	8
98	410	4
99	419	0
